Id,SalePrice
1461,124530.1297
1462,155127.326666667
1463,170281.4422
1464,184746.875
1465,197123.054033333
1466,177850.0765
1467,167774.2051
1468,175540.009433333
1469,183370.8972
1470,119824.1266
1471,200383.872566667
1472,99698.5435714286
1473,96230.1001
1474,155603.053
1475,137476.035966667
1476,367479.7076
1477,250341.1035
1478,304583.2168
1479,235392.195366667
1480,496402.662733333
1481,308826.751166667
1482,208678.282066667
1483,173762.338966667
1484,169649.844266667
1485,166180.391066667
1486,208845.935166667
1487,326330.2564
1488,243631.000333333
1489,194965.439066667
1490,196708.354733333
1491,185927.849633333
1492,104242.773466667
1493,174589.445466667
1494,289303.5552
1495,309728.486766667
1496,228386.855333333
1497,191817.791366667
1498,152416.065328571
1499,153394.817
1500,154612.3867
1501,177720.969133333
1502,146506.825814286
1503,297555.9442
1504,223466.5732
1505,217305.891266667
1506,204536.396666667
1507,221289.102233333
1508,196879.773333333
1509,168971.860666667
1510,141516.902166667
1511,152348.740433333
1512,174418.624333333
1513,165663.831933333
1514,164648.776
1515,176042.3707
1516,159720.553666667
1517,144113.4412
1518,141268.670866667
1519,223825.819466667
1520,138444.371666667
1521,144007.5567
1522,188022.3076
1523,114794.266333333
1524,121962.055833333
1525,129250.309733333
1526,130490.718666667
1527,86156.2357666666
1528,122517.7415
1529,145530.8309
1530,165622.621666667
1531,118684.379166667
1532,114980.786166667
1533,146020.9819
1534,121723.365066667
1535,150630.811666667
1536,110114.3456
1537,74916.0412333333
1538,176013.7782
1539,196664.949533333
1540,130006.974666667
1541,161525.139033333
1542,150525.69
1543,220368.223033333
1544,82680.6425333334
1545,106290.715933333
1546,119647.694833333
1547,134940.347
1548,138262.8367
1549,103806.145833333
1550,146761.5576
1551,121202.483566667
1552,135643.753866667
1553,135057.769833333
1554,119252.284466667
1555,164510.298833333
1556,110995.799233333
1557,138585.026333333
1558,100937.960333333
1559,125804.049133333
1560,152990.636
1561,174246.558966667
1562,116169.3607
1563,122354.356666667
1564,165857.098766667
1565,147063.7762
1566,196939.754333333
1567,80173.9543666666
1568,212274.5872
1569,127180.6142
1570,113914.266266667
1571,127942.4097
1572,137366.629
1573,244001.1047
1574,137847.901666667
1575,208839.668466667
1576,216177.835633333
1577,193823.968666667
1578,147565.7776
1579,143301.115666667
1580,193436.607
1581,126231.673333333
1582,129216.970111111
1583,354797.031333333
1584,237265.525066667
1585,141178.123285714
1586,67080.8647666667
1587,103591.0021
1588,149405.218133333
1589,105122.386266667
1590,139532.363333333
1591,106351.322833333
1592,118727.223266667
1593,121386.6402
1594,142045.623566667
1595,132733.0053
1596,242713.450833333
1597,160259.259133333
1598,180566.282866667
1599,181018.159933333
1600,182435.899833333
1601,66710.5816333333
1602,105146.279361905
1603,92108.4864
1604,279871.8539
1605,253535.102366667
1606,169733.4196
1607,203826.769433333
1608,197776.8078
1609,193150.4277
1610,159273.955733333
1611,152345.8392
1612,159928.242866667
1613,158320.042266667
1614,129867.194666667
1615,82793.0947666667
1616,78766.7054333333
1617,84965.6919666667
1618,126577.555711111
1619,128111.467166667
1620,172188.223566667
1621,140876.8216
